 # array2D(1,100,1,100)
  -8499.00000000000       -8499.00000000000       2.1627919E-21
  -8499.00000000000       -8327.30303030303       3.4574748E-21
  -8499.00000000000       -8155.60606060606       5.4742558E-21
  -8499.00000000000       -7983.90909090909       8.5843148E-21
  -8499.00000000000       -7812.21212121212       1.3332912E-20
  -8499.00000000000       -7640.51515151515       2.0511780E-20
  -8499.00000000000       -7468.81818181818       3.1255714E-20
  -8499.00000000000       -7297.12121212121       4.7173219E-20
  -8499.00000000000       -7125.42424242424       7.0519170E-20
  -8499.00000000000       -6953.72727272727       1.0441430E-19
  -8499.00000000000       -6782.03030303030       1.5312616E-19
  -8499.00000000000       -6610.33333333333       2.2242473E-19
  -8499.00000000000       -6438.63636363636       3.2000989E-19
  -8499.00000000000       -6266.93939393939       4.5602079E-19
  -8499.00000000000       -6095.24242424242       6.4364676E-19
  -8499.00000000000       -5923.54545454545       8.9981948E-19
  -8499.00000000000       -5751.84848484848       1.2459625E-18
  -8499.00000000000       -5580.15151515151       1.7088169E-18
  -8499.00000000000       -5408.45454545454       2.3212934E-18
  -8499.00000000000       -5236.75757575757       3.1232586E-18
  -8499.00000000000       -5065.06060606060       4.1622434E-18
  -8499.00000000000       -4893.36363636363       5.4940137E-18
  -8499.00000000000       -4721.66666666666       7.1828270E-18
  -8499.00000000000       -4549.96969696969       9.3012920E-18
  -8499.00000000000       -4378.27272727272       1.1929808E-17
  -8499.00000000000       -4206.57575757575       1.5155378E-17
  -8499.00000000000       -4034.87878787878       1.9069656E-17
  -8499.00000000000       -3863.18181818181       2.3766284E-17
  -8499.00000000000       -3691.48484848484       2.9337456E-17
  -8499.00000000000       -3519.78787878787       3.5869595E-17
  -8499.00000000000       -3348.09090909090       4.3438321E-17
  -8499.00000000000       -3176.39393939393       5.2102939E-17
  -8499.00000000000       -3004.69696969696       6.1900499E-17
  -8499.00000000000       -2832.99999999999       7.2839804E-17
  -8499.00000000000       -2661.30303030303       8.4895763E-17
  -8499.00000000000       -2489.60606060606       9.8004478E-17
  -8499.00000000000       -2317.90909090909       1.1205947E-16
  -8499.00000000000       -2146.21212121212       1.2690941E-16
  -8499.00000000000       -1974.51515151515       1.4235796E-16
  -8499.00000000000       -1802.81818181818       1.5816572E-16
  -8499.00000000000       -1631.12121212121       1.7405467E-16
  -8499.00000000000       -1459.42424242424       1.8971499E-16
  -8499.00000000000       -1287.72727272727       2.0481429E-16
  -8499.00000000000       -1116.03030303030       2.1900879E-16
  -8499.00000000000       -944.333333333328       2.3195595E-16
  -8499.00000000000       -772.636363636359       2.4332805E-16
  -8499.00000000000       -600.939393939389       2.5282584E-16
  -8499.00000000000       -429.242424242419       2.6019171E-16
  -8499.00000000000       -257.545454545449       2.6522113E-16
  -8499.00000000000       -85.8484848484797       2.6777218E-16
  -8499.00000000000        85.8484848484900       2.6777218E-16
  -8499.00000000000        257.545454545460       2.6522113E-16
  -8499.00000000000        429.242424242429       2.6019171E-16
  -8499.00000000000        600.939393939399       2.5282586E-16
  -8499.00000000000        772.636363636369       2.4332805E-16
  -8499.00000000000        944.333333333338       2.3195595E-16
  -8499.00000000000        1116.03030303031       2.1900879E-16
  -8499.00000000000        1287.72727272728       2.0481429E-16
  -8499.00000000000        1459.42424242425       1.8971497E-16
  -8499.00000000000        1631.12121212122       1.7405467E-16
  -8499.00000000000        1802.81818181819       1.5816572E-16
  -8499.00000000000        1974.51515151516       1.4235796E-16
  -8499.00000000000        2146.21212121213       1.2690941E-16
  -8499.00000000000        2317.90909090910       1.1205947E-16
  -8499.00000000000        2489.60606060607       9.8004485E-17
  -8499.00000000000        2661.30303030304       8.4895763E-17
  -8499.00000000000        2833.00000000000       7.2839804E-17
  -8499.00000000000        3004.69696969697       6.1900499E-17
  -8499.00000000000        3176.39393939394       5.2102942E-17
  -8499.00000000000        3348.09090909091       4.3438318E-17
  -8499.00000000000        3519.78787878788       3.5869592E-17
  -8499.00000000000        3691.48484848485       2.9337463E-17
  -8499.00000000000        3863.18181818182       2.3766285E-17
  -8499.00000000000        4034.87878787879       1.9069651E-17
  -8499.00000000000        4206.57575757576       1.5155381E-17
  -8499.00000000000        4378.27272727273       1.1929813E-17
  -8499.00000000000        4549.96969696970       9.3012878E-18
  -8499.00000000000        4721.66666666667       7.1828237E-18
  -8499.00000000000        4893.36363636364       5.4940174E-18
  -8499.00000000000        5065.06060606061       4.1622434E-18
  -8499.00000000000        5236.75757575758       3.1232564E-18
  -8499.00000000000        5408.45454545455       2.3212957E-18
  -8499.00000000000        5580.15151515152       1.7088185E-18
  -8499.00000000000        5751.84848484849       1.2459600E-18
  -8499.00000000000        5923.54545454546       8.9981844E-19
  -8499.00000000000        6095.24242424243       6.4364800E-19
  -8499.00000000000        6266.93939393940       4.5602069E-19
  -8499.00000000000        6438.63636363637       3.2000994E-19
  -8499.00000000000        6610.33333333334       2.2242566E-19
  -8499.00000000000        6782.03030303031       1.5312607E-19
  -8499.00000000000        6953.72727272728       1.0441333E-19
  -8499.00000000000        7125.42424242425       7.0518899E-20
  -8499.00000000000        7297.12121212122       4.7173454E-20
  -8499.00000000000        7468.81818181819       3.1255940E-20
  -8499.00000000000        7640.51515151516       2.0512100E-20
  -8499.00000000000        7812.21212121213       1.3333072E-20
  -8499.00000000000        7983.90909090910       8.5840717E-21
  -8499.00000000000        8155.60606060607       5.4739251E-21
  -8499.00000000000        8327.30303030304       3.4573835E-21
  -8499.00000000000        8499.00000000001       2.1629089E-21
  -8327.30303030303       -8499.00000000000       3.4574748E-21
